ia_rms,ia_std,ia_kurt,ia_crest,ia_domFreq,ib_rms,ic_rms,current_unbalance,Te_mean,Te_std,Te_p2p,wm_mean,wm_std,wm_p2p,energy,fft_energy,torque_ripple,speed_ripple,thd_like,label
228.2826615977985,224.94520147334123,-1.1458678454610907,2.7287228999075617,50.0,217.34489963114427,217.34773784712667,0.0014191079911967108,5267.062539485097,2928.722375704255,14148.74951164252,148.51667067678565,3.956121881358728,14.064264849351986,521129735.86174977,5211297358617.496,2928.722375704255,3.956121881358728,0.8800039322063639,0
228.28316028340487,224.94572290329984,-1.145851542585454,2.7288773043169066,50.0,217.3451607790772,217.347594089065,0.0012166549939109927,5267.062793028497,2928.7223521955043,14148.68685793892,148.51646110039277,3.9560098554309366,14.086313471463,521132012.68978715,5211320126897.873,2928.7223521955043,3.9560098554309366,0.8800069678133305,0
228.28320525752522,224.94580217942013,-1.145859103684508,2.7288152579310485,50.0,217.34406675342254,217.34880045276427,0.0023668496708637576,5267.063084817611,2928.721976368839,14148.7162335042,148.51680600086445,3.9556085167291455,14.042341699265023,521132218.02649397,5211322180264.941,2928.721976368839,3.9556085167291455,0.8800063937473297,0
228.28261117203343,224.94517394902184,-1.1458486632975786,2.7290937693652255,50.0,217.34558542154033,217.34844065207355,0.001427615266607063,5267.062711602866,2928.7225185384177,14148.69896814365,148.5165864652097,3.955994882904887,14.070375443486,521129505.635218,5211295056352.182,2928.7225185384177,3.955994882904887,0.8800062465260383,0
228.28278607871783,224.94544078914475,-1.145863670403744,2.7288584396437208,50.0,217.344955212019,217.34888089484735,0.0019628414141834583,5267.062572776317,2928.722405501762,14148.73093397287,148.51647532188792,3.9558781330298447,14.10745342985399,521130304.1986165,5211303041986.166,2928.722405501762,3.9558781330298447,0.8800076501236472,0
228.28249040009757,224.94503573632448,-1.1458653245204007,2.729143803949379,50.0,217.3452369038175,217.34793253665873,0.0013478164206190968,5267.062611157689,2928.72273360445,14148.719004284829,148.5164638759884,3.955674604015519,14.059021316105003,521128954.2327064,5211289542327.065,2928.72273360445,3.955674604015519,0.8800043050485062,0
228.2826991701099,224.94521718346658,-1.145852054497202,2.728934918448937,50.0,217.34503273852792,217.34807633779897,0.001521799635526122,5267.062571945343,2928.722334588121,14148.716077395191,148.5167744885758,3.955864806433089,14.054025590114975,521129907.40390897,5211299074039.089,2928.722334588121,3.955864806433089,0.8800057111298395,0
228.28295722733455,224.94531612769697,-1.1458883739287578,2.728562127049844,50.0,217.3460004322023,217.3482404546908,0.0011200112442537602,5267.062974452284,2928.7221342321245,14148.67730684745,148.51636259044508,3.9558861483283825,14.065290620697994,521131085.6045706,5211310856045.707,2928.7221342321245,3.9558861483283825,0.8800040790007314,0
228.2822403470565,224.94491251313218,-1.1458338179486254,2.728883727245266,50.0,217.3450167161453,217.34830871978178,0.0016460018182442582,5267.062814477487,2928.7221866753994,14148.73978760472,148.51678132386527,3.9560667301613184,14.090322200691986,521127812.5787127,5211278125787.127,2928.7221866753994,3.9560667301613184,0.880008062514441,0
228.2820583682698,224.94458922998348,-1.1458671650845582,2.7290463182541123,50.0,217.34514555314732,217.3474947016817,0.001174574267196249,5267.06249176062,2928.7220249920265,14148.74988791951,148.5163201432129,3.9559524068965963,14.058766373731004,521126981.7285414,5211269817285.416,2928.7220249920265,3.9559524068965963,0.8800058888113275,0
228.28318252862113,224.94575090449104,-1.1458522261338728,2.7288323504080814,50.0,217.34448869778254,217.3480394458801,0.001775374048776257,5267.062750490697,2928.7223014656174,14148.71567595051,148.5165501154794,3.9560998762776274,14.060027213588,521132114.2539575,5211321142539.576,2928.7223014656174,3.9560998762776274,0.8800060833526014,0
228.28270904414387,224.94524967490395,-1.1458694287644053,2.7293884095384238,50.0,217.34427811749526,217.34728168794342,0.0015017852240788443,5267.062709860345,2928.7222139152564,14148.7221754439,148.516546886969,3.956014009283772,14.086352021494008,521129952.48533237,5211299524853.324,2928.7222139152564,3.956014009283772,0.8800057640681398,0
228.2838784603872,224.94643369766627,-1.14584150918237,2.7292522957033345,50.0,217.34477442876644,217.34747770491077,0.0013516380721654286,5267.06266533809,2928.7223908710957,14148.7452436802,148.51664253983148,3.956119725477756,14.051090196285998,521135291.6491684,5211352916491.686,2928.7223908710957,3.956119725477756,0.8800066396040858,0
228.28312644815026,224.94564898248984,-1.1458627158314958,2.7285339361733167,50.0,217.34619640559202,217.3481091865179,0.0009563904629317221,5267.062739656704,2928.722124350657,14148.72581654995,148.5164987337946,3.9560798626468996,14.06304740296602,521131858.20942163,5211318582094.217,2928.722124350657,3.9560798626468996,0.8800045938322058,0
