t,ia,ib,ic,Te,wm
0,-0.0836999918915939,-0.0158269463164295,0.035958451174507,0.0146292645958108,155.515461564355
0.0001,-0.0282765124762018,-0.0498998988385375,-0.00552544379972733,-0.00137148325467892,155.501415806345
0.0002,0.422602085222855,-9.28266768317648,8.70284998418715,0.0302922803754623,155.475743463807
0.0003,1.28811712296104,-18.6084785908885,17.2532181594082,-0.00802001916048356,155.505547143412
0.0004,2.43159725799495,-27.9338122378944,25.6276038540536,-0.0296025267436094,155.513259299361
0.0005,3.86465615726082,-37.7092351314046,33.731186155419,-0.031522468041206,155.484636968891
0.0006,5.66197324691464,-47.3876189084129,41.7452437758861,-0.0303969467214079,155.528867172711
0.0007,7.7891675322181,-57.1267745813072,49.452075392193,-0.0255127901520844,155.474067383474
0.0008,10.2226302237929,-67.0323161729232,56.8315774790555,-0.0699755443258127,155.498766369327
0.0009,12.9419451809176,-76.9965710663823,64.1494027226873,-0.0986334981471099,155.513096073087
0.001,15.8178936417043,-87.0049219018167,71.1591388093453,-0.15887761037522,155.504878282349
0.0011,19.1854006780014,-97.1289341447267,77.9500158886164,-0.244227609151134,155.491376795106
0.0012,22.8256793201205,-107.289960601373,84.4222664684458,-0.379606138198515,155.532786578059
0.0013,26.8247038989482,-117.333024511173,90.6327148958601,-0.576768824833652,155.461447402742
0.0014,31.0952786385418,-127.682938826054,96.6462137742081,-0.778120253593064,155.473181947469
0.0015,35.5854964186606,-137.926280558795,102.322697072557,-1.03042052293303,155.472152666486
0.0016,40.3874174024129,-148.066694094056,107.5837788726,-1.37878473073482,155.482766163204
0.0017,45.3670388193859,-158.301853042687,112.807658553469,-1.76161094692251,155.42479446118
0.0018,50.8351262189684,-168.390697862132,117.583986608592,-2.23010823678899,155.482071184
0.0019,56.4022331414244,-178.598894001257,122.136302486984,-2.84507562489523,155.483575061185
0.002,62.3185753801799,-188.723635667445,126.417429048461,-3.49351955539984,155.506870173524
0.0021,68.3737934235188,-198.833813241479,130.275178806256,-4.28924437167116,155.462976089583
0.0022,74.8614719796122,-208.752946207034,133.894570115767,-5.1533201898536,155.492211442627
0.0023,81.4798726048069,-218.83533891188,137.227102771794,-6.18159570064367,155.467060635273
0.0024,88.3735561734785,-228.670040583618,140.303405986122,-7.36711617241813,155.452230890681
0.0025,95.3719673332347,-238.42549252345,143.009181020143,-8.69388479310631,155.513522756978
0.0026,102.783728998314,-248.113881080324,145.424233291257,-10.1881287770033,155.462873561326
0.0027,110.173543485867,-257.704714732309,147.473106401405,-11.875778882463,155.453664128664
0.0028,117.964598415313,-267.128908311335,149.267252646376,-13.7303910102176,155.476349458944
0.0029,125.845196006026,-276.506023941252,150.687318020686,-15.8321760557724,155.456602576605
0.003,133.938161226376,-285.695473292221,151.764604074556,-18.1137165835425,155.460780522
0.0031,142.214255943649,-294.84548510666,152.646711730729,-20.6739764443636,155.451831502696
0.0032,150.796288618574,-303.812754033785,152.987409070954,-23.4289951411009,155.446510142325
0.0033,159.407259682193,-312.525411992976,153.157552717709,-26.4581814632573,155.496876260099
0.0034,168.125517759386,-321.177913658562,152.993262248425,-29.7438394964073,155.432822922565
0.0035,177.066137670784,-329.589919922957,152.452576358989,-33.3419039699724,155.443265145986
0.0036,186.116145066952,-337.883048059224,151.696767623324,-37.2724877071344,155.470602293592
0.0037,195.333596284672,-345.865881165697,150.383696478771,-41.4405647746177,155.448582242247
0.0038,204.669808119367,-353.680445457747,149.099196546466,-46.016898757136,155.439266211398
0.0039,213.986341722738,-361.328544304912,147.288852287411,-50.8334749629025,155.445617152355
0.004,223.520220672005,-368.766439793209,145.249599510941,-56.022737048314,155.445123653593
0.0041,233.137868246799,-375.874015109417,142.777417392527,-61.6173084847976,155.471244564389
0.0042,242.76843786859,-382.774033408829,139.986570955236,-67.5788950233391,155.429205411329
0.0043,252.47999191442,-389.623147266368,137.044483815935,-73.9318385034235,155.472251687412
0.0044,262.357470520945,-396.172849972809,133.73127089224,-80.6640889577468,155.456592059593
0.0045,272.23994425586,-402.283370570112,130.093949293703,-87.7793698785068,155.426979771202
0.0046,281.984769550826,-408.187714276705,126.222292651843,-95.3552241403183,155.441436704389
0.0047,291.923079711209,-413.982325251554,122.03023641555,-103.392139729684,155.471903813673
0.0048,301.92816821042,-419.353234919878,117.485478777911,-111.898858717509,155.40936958792
0.0049,311.861474325021,-424.412141153335,112.636568405707,-120.777137872377,155.421734333735
0.005,321.780153170757,-429.309351487497,107.640602804638,-130.15368004761,155.437754513739
0.0051,331.611376106599,-434.021437333043,102.300869738959,-139.968246514219,155.423496458365
0.0052,341.558755428934,-438.314537674249,96.7493302899647,-150.322741444622,155.415479985289
0.0053,351.408231802803,-442.303004325188,90.9144718350065,-161.154526193971,155.424404856806
0.0054,361.271895408654,-446.091731723466,84.6955241949628,-172.517958919668,155.443718744803
0.0055,371.088373841516,-449.522393642361,78.4306492764258,-184.357014206646,155.432404858881
0.0056,380.669384304535,-452.641363439414,71.7655096829434,-196.688255272333,155.405358125059
0.0057,390.409255269654,-455.490049107666,64.9971431749853,-209.552951893436,155.432964511001
0.0058,399.926592133254,-458.005064024077,58.0118526697614,-222.975425929083,155.404634027368
0.0059,409.424689778639,-460.10883642802,50.7029606671958,-236.841846003429,155.423708166737
0.006,418.814740356064,-462.016899400988,43.1140530304059,-251.314763579501,155.42049156357
0.0061,428.053626987278,-463.594182084616,35.5794207753072,-266.352430845097,155.393700997119
0.0062,437.17897991286,-464.788496657077,27.6284212869615,-281.832396114118,155.394709398537
0.0063,446.13901050393,-465.687343987694,19.5119469371817,-297.897248319685,155.400611899762
0.0064,455.10450604255,-466.320486430383,11.2926993078128,-314.49805258983,155.402889360746
0.0065,463.745284039844,-466.668205815156,2.86504021571251,-331.657986211734,155.401500447179
0.0066,472.434130334113,-466.71480734255,-5.72771693411653,-349.320902637687,155.391087855066
0.0067,480.892638918306,-466.287480955277,-14.3965681803713,-367.514753069749,155.403206838635
0.0068,488.986043899081,-465.549693517154,-23.3321704173096,-386.310259490008,155.399091262878
0.0069,496.945988996578,-464.664592809885,-32.4175979264296,-405.580986410387,155.434239146623
0.007,504.855322649339,-463.377706717139,-41.476944068723,-425.410849460776,155.401108062055
0.0071,512.580281975719,-461.796382098657,-50.8348503411869,-445.73578342765,155.415889408298
0.0072,520.07069507837,-459.945464905055,-60.1980376909064,-466.607798098044,155.384722577201
0.0073,527.268384357143,-457.595428657535,-69.7832114654714,-487.936376224752,155.385977285362
0.0074,534.413188573471,-455.084568363151,-79.2826966261165,-509.829750657415,155.412495889296
0.0075,541.117589957336,-452.227014843667,-88.9040756301105,-532.179430670272,155.399175999344
0.0076,547.767792857084,-449.051861297967,-98.6872544309717,-555.023467480946,155.389425387927
0.0077,554.055922789787,-445.635540094508,-108.404544421252,-578.313606242182,155.384502632366
0.0078,560.108604503981,-441.902655465175,-118.265179216591,-602.112023868534,155.373792062768
0.0079,566.002588756303,-437.920695890188,-128.056325633285,-626.301820679745,155.398808102993
0.008,571.560273082902,-433.57954113755,-138.083272494927,-650.966782722969,155.375815454412
0.0081,576.846961464008,-428.93832436928,-147.865441085952,-676.001221567336,155.359009116449
0.0082,581.906703775111,-424.000062863076,-157.775972124801,-701.554284497873,155.343582281527
0.0083,586.748193281675,-418.832138761184,-167.755720481259,-727.388031361338,155.373709781626
0.0084,591.196937009279,-413.46805347981,-177.787254587077,-753.647795940549,155.35492224238
0.0085,595.536686779417,-407.79121705484,-187.634498695195,-780.260694803594,155.372781505794
0.0086,599.374683847345,-401.80072810103,-197.477196209499,-807.219944780484,155.325151008623
0.0087,602.893241246835,-395.72247316663,-207.329374541933,-834.492640635394,155.332075756666
0.0088,606.346234289146,-389.120367753024,-217.170391695185,-862.047180081216,155.378254436389
